Epoch,Train_Loss,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
1,32.62209768,23.09537689,0.77699817,0.79632345,0.773633254
2,17.11254983,11.95553306,0.914276998,0.919257886,0.911053959
3,8.839682934,8.10816968,0.95424039,0.955594349,0.952137163
4,5.177247185,6.307119388,0.961561928,0.963469929,0.95989394
5,3.407230425,5.037829954,0.975594875,0.975835967,0.974421356
6,2.408539635,4.55459906,0.978645516,0.979047409,0.977652186
7,1.693025996,4.379650378,0.975289811,0.974892251,0.974009249
8,1.202945891,4.557540097,0.974679683,0.975555535,0.973455168
9,1.057487024,3.918605481,0.978340451,0.979111513,0.977206971
10,0.771551837,3.614242365,0.981391092,0.98134349,0.980661777
11,0.702689607,3.974959659,0.978035387,0.979060608,0.977276155
12,0.592296736,3.991815414,0.974069555,0.974509658,0.973190326
13,0.492125821,3.778537783,0.978645516,0.978699544,0.977949084
14,0.519728508,3.483893244,0.980780964,0.981026983,0.980127145
15,0.490937597,3.791202395,0.977425259,0.977870856,0.976897367
16,0.51644806,3.809196532,0.977120195,0.977498346,0.975885773
17,0.439181874,3.838169442,0.978340451,0.978572031,0.977740612
18,0.453954164,3.684090271,0.978340451,0.978936254,0.978049193
19,0.362158394,3.481888094,0.981086028,0.981531028,0.980381605
20,0.373493429,3.459770966,0.976815131,0.977666421,0.975667359
