epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0967,1.00693,0.49071,1.04789,0.95172,0.93262,0.96927,0.67393,1.04657,0.47121,1.05859,0.000664723,0.000664723,0.000664723
2,129.584,1.10509,0.61631,1.11611,0.88997,0.71867,0.77547,0.49702,1.2727,0.72541,1.22534,0.00130503,0.00130503,0.00130503
3,195.806,1.16928,0.68377,1.14206,0.94667,0.86317,0.91564,0.60128,1.21605,0.59416,1.1527,0.00191893,0.00191893,0.00191893
4,261.265,1.16599,0.6885,1.14498,0.92703,0.85166,0.92111,0.61366,1.1923,0.58576,1.15515,0.0018812,0.0018812,0.0018812
5,326.956,1.14478,0.67907,1.13563,0.94812,0.86462,0.93538,0.59549,1.24236,0.59882,1.16784,0.0018416,0.0018416,0.0018416
6,394.17,1.1224,0.65146,1.12897,0.95524,0.8734,0.93923,0.64215,1.11248,0.5401,1.1066,0.001802,0.001802,0.001802
7,458.879,1.11467,0.6397,1.1301,0.94988,0.89667,0.93835,0.64087,1.12621,0.53694,1.11506,0.0017624,0.0017624,0.0017624
8,524.399,1.09262,0.61388,1.10888,0.963,0.88747,0.94415,0.6441,1.11758,0.50867,1.11045,0.0017228,0.0017228,0.0017228
9,589.475,1.09617,0.60734,1.1126,0.95731,0.8913,0.95659,0.65245,1.10056,0.51993,1.08117,0.0016832,0.0016832,0.0016832
10,655.064,1.06657,0.59432,1.08578,0.95305,0.88249,0.9446,0.64449,1.13077,0.54378,1.10629,0.0016436,0.0016436,0.0016436
11,719.257,1.07272,0.58723,1.09653,0.95148,0.88747,0.94745,0.65261,1.12126,0.50414,1.09511,0.001604,0.001604,0.001604
12,785.164,1.06335,0.58484,1.09617,0.93168,0.92072,0.95021,0.65731,1.09375,0.50569,1.09028,0.0015644,0.0015644,0.0015644
13,850.225,1.05324,0.57137,1.08657,0.96905,0.8977,0.95792,0.66194,1.11261,0.49144,1.10261,0.0015248,0.0015248,0.0015248
14,914.768,1.03183,0.55003,1.0702,0.95039,0.90641,0.9523,0.65161,1.10582,0.49608,1.09252,0.0014852,0.0014852,0.0014852
15,980.017,1.02986,0.55108,1.07867,0.94714,0.91652,0.95459,0.64951,1.10022,0.49273,1.09902,0.0014456,0.0014456,0.0014456
16,1043.14,1.03123,0.53456,1.07265,0.95972,0.91412,0.96352,0.67451,1.07027,0.4741,1.08102,0.001406,0.001406,0.001406
17,1115.2,0.99106,0.51341,1.05932,0.96921,0.91304,0.96316,0.67786,1.06392,0.45762,1.08681,0.0013664,0.0013664,0.0013664
18,1183.52,0.97915,0.50887,1.06187,0.96797,0.90665,0.96291,0.66997,1.06205,0.46593,1.07563,0.0013268,0.0013268,0.0013268
19,1247.68,0.99838,0.51525,1.06217,0.96388,0.91688,0.96526,0.67279,1.07244,0.47866,1.0805,0.0012872,0.0012872,0.0012872
20,1314.38,0.9699,0.50189,1.04591,0.95699,0.90793,0.96199,0.67403,1.07228,0.45605,1.0806,0.0012476,0.0012476,0.0012476
21,1378.32,0.97146,0.49895,1.04224,0.94871,0.92839,0.96542,0.68396,1.05731,0.44045,1.07014,0.001208,0.001208,0.001208
22,1452,0.96373,0.497,1.03762,0.96841,0.9156,0.96461,0.67631,1.05262,0.44684,1.06287,0.0011684,0.0011684,0.0011684
23,1516.68,0.95133,0.48869,1.02876,0.9522,0.92072,0.96544,0.67632,1.07959,0.45037,1.07517,0.0011288,0.0011288,0.0011288
24,1581.4,0.93264,0.4722,1.03009,0.95999,0.9335,0.97195,0.68114,1.06582,0.43659,1.077,0.0010892,0.0010892,0.0010892
25,1646.26,0.92703,0.46564,1.02441,0.97465,0.90665,0.9681,0.68051,1.05971,0.44139,1.07508,0.0010496,0.0010496,0.0010496
26,1710.56,0.92972,0.47194,1.01982,0.96565,0.92583,0.97029,0.68168,1.06498,0.44088,1.07896,0.00101,0.00101,0.00101
27,1775.67,0.92422,0.45207,1.01421,0.96387,0.92115,0.96563,0.6845,1.05271,0.4341,1.06987,0.0009704,0.0009704,0.0009704
28,1844.44,0.90363,0.45316,1.01393,0.98,0.9156,0.96102,0.67489,1.06308,0.43196,1.09121,0.0009308,0.0009308,0.0009308
29,1908.88,0.91357,0.45053,1.0158,0.97012,0.91354,0.96815,0.68373,1.06516,0.4332,1.07965,0.0008912,0.0008912,0.0008912
30,1972.75,0.89079,0.43779,1.00735,0.97436,0.92344,0.9693,0.68643,1.07526,0.42203,1.07937,0.0008516,0.0008516,0.0008516
31,2043.4,0.87267,0.42833,1.00098,0.97633,0.92967,0.96896,0.69037,1.05964,0.42096,1.07694,0.000812,0.000812,0.000812
32,2112.47,0.86165,0.42373,0.99348,0.96935,0.92583,0.96919,0.68926,1.0577,0.4204,1.06939,0.0007724,0.0007724,0.0007724
33,2175.53,0.86407,0.42359,0.99287,0.9666,0.93095,0.96951,0.6889,1.05428,0.40693,1.07405,0.0007328,0.0007328,0.0007328
34,2242.22,0.86745,0.42026,0.9957,0.95864,0.92967,0.97053,0.68673,1.05937,0.42122,1.08451,0.0006932,0.0006932,0.0006932
